moviename	movieid
1990: I guerrieri del Bronx (1990: Bronx Warriors)	143
1991: The Year Punk Broke	144
1999 - Nen no natsu yasumi (Summer Vacation 1999)	411
1999 (Girls &amp; Boys)	412
1-Ichi	145
1PW: No Turning Back, Night 2	146
1st Bite	147
1st of May: All Belongs to You (Berlin - 1. Mai)	413
1st Testament: CIA Vengeance	414
2 Brothers and A Bride	148
2 Days (Two Days)	149
2 Days in Paris (Deux jours à Paris)	150
2 Days in the Valley	415
2 Dudes and a Dream	151
2 Dyuo (2 Duo)	416
2 Faces of My Girlfriend (Doo Eol-gool-eui Yeo-chin)	417
2 Fast 2 Furious	152
2 Fast 2 Real for Hollywood	418
2 G&#039;s &amp; a Key	153
2 Harihar Nagar	154
2 Hitmen	155
2 ilusiones	156
2 Kunilemel	157
2 Minutes Later	158
2 Mums and a Dad	419
2 ou 3 Choses que je Sais d&#039;Elle (Two or Three Things I Know About Her)	420
2 Seconds	421
2 Sides of Life	422
2 süper film birden	423
2 Turntables And A Microphone: The Life And Death Of Jam Master Jay	159
2 wol 29 il (February 29: 4 Horror Tales)	424
2 Young (Jo sok)	425
2:22	160
2:37	161
2+5: Missione Hydra (Star Pilot)	162
20 30 40	163
20 Centimeters (20 Centimetres) (20 centímetros)	426
20 Country Love Songs	427
20 Dates	164
20 Fingers	165
20 Funerals	428
20 Million Miles to Earth	429
20 Seconds of Joy	166
20 to Life: The Life and Times of John Sinclair	167
20 Years After	430
20, 13 (20,13 - Purgatório) (20.13: Purgatory)	168
20,000 Leagues Under The Sea	169
20,000 Miles On A Horse	170
20,000 Years in Sing Sing	431
200 American	171
200 Cadillacs	432
200 Cigarettes	433
200 Motels	434
2001 - A Space Travesty	172
2001 Maniacs	173
2001: A Space Odyssey	174
2001: A Space Odyssey (1968)	175
2001: Do Hazaar Ek	176
2002	177
2006 Academy Award Nominated Short Films	435
2007 FedEx Orange Bowl: Louisville Cardinals	436
2007 NCAA Women&#039;s Final Four Championship	178
2008 FedEx Orange Bowl	179
2008 Rose Bowl: Illinois vs. USC	180
2008 Sugar Bowl: Georgia	437
2008 Tostitos Fiesta Bowl: West Virginia	438
2009: Lost Memories	439
2010: The Year We Make Contact	181
2012	182
2012 Doomsday	440
2012: Science or Superstition	441
2012: Supernova	442
2012: The Odyssey	183
2012-ish: The Day the Earth Bent Over (Armageddagain: The Day Before Tomorrow)	184
2019 - Dopo la caduta di New York (After the Fall of New York)	443
2019: After the Fall of New York	185
2046	444
2081: Everyone Will Finally Be Equal	186
2084 (2084: Video clip pour une réflexion syndicale et pour le plaisir)	187
2095	445
20h17 rue Darling (8:17 p.m. Darling Street)	188
20-seiki sh?nen (Twentieth Century Boys)	189
20-seiki sh?nen: Dai 2 sh? - Saigo no kib? (20th Century Boys: Chapter Two - The Last Hope)	190
20-seiki sh?nen: Saish?-sh? - Bokura no hata (20th Century Boys 3: The Last Chapter - Our Flag)	191
20th Century Fox: The First 50 Years	446
21	192
21 Days	447
21 Eyes	193
21 Grams	194
21 Hours at Munich	195
21 Jump Street	448
21 Up (Twenty One Up)	196
21 Up South Africa: Mandela&#039;s Children	449
2103: The Deadly Wake	197
211: Anna	198
21-87	199
23	450
23 Paces to Baker Street	451
24	452
24 Cuadros de Terror	200
24 heures ou plus...	201
24 Hour Party People	453
24 Hours in London	202
24 Hours on Craigslist	203
24 mesures	204
24 Nights	454
24 Preludes for a Fugue	455
24 Solo	456
24 x 24: Wide Open With Jeff Gordon	457
24: Redemption	205
25 Cent Preview	206
25 Degrees in Winter	458
25 Firemans Street	207
25 to Life	459
25 Watts	460
25/8	461
252: Seizonsha ari (252: Signal Of Life)	462
25th Hour	463
26th July at Barista	208
27 Dresses	464
27 Missing Kisses	209
28 Days	210
28 Days Later	465
28 Up	466
28 Weeks Later...	211
287th Hour	467
29 Palms	212
29 Reasons to Run	468
29th and Gay	213
29th Street	214
2b Perfectly Honest	215
2by4 (2 x 4)	216
2gether	217
2LDK	469
2morrows Never Promised	218
2nd Verse: The Rebirth of Poetry	219
3 &amp; 3	470
3 A.M.	471
3 Acts of Murder	220
3 Americas	472
3 amis	221
3 Blind Mice	473
3 by Cheever: The 5:48 (The Five Forty-Eight)	474
3 Chains o&#039; Gold	475
3 Days To A Kill	222
3 Deewarein (3 Walls)	476
3 dev adam (3 Mighty Men)	477
3 gar?ons, 1 fille, 2 mariages (3 Guys, 1 Girl, 2 Weddings)	478
3 Godfathers	479
3 Hommes et un Couffin (Three Men and a Cradle)	223
3 Needles	480
3 Nights in Nisyros	481
3 Ninjas	224
3 Ninjas - High Noon on Mega Mountain	482
3 Ninjas Kick Back	483
3 Ninjas Knuckle Up	484
3 Noches	225
3 Nuts in Search of a Bolt (3 Nuts and a Bolt)	226
3 Peaks 3 Weeks	485
3 Points	227
3 Ring Circus (Jerrico, the Wonder Clown)	228
3 Saisons	486
3 Steps to Heaven	487
3 Strikes	488
3 The Hard Way......Again	489
3 Way	490
3 Women	229
3 zan (Three Women)	230
3 zéros (Shooting Stars)	231
3, 2, 1 (Tatlo, Dalawa, Isa)	491
3: The Dale Earnhardt Story	492
3: Watch It Go	493
3:10 to Yuma	494
3:10 to Yuma (1957)	232
3:15  (3:15 The Moment Of Truth)	233
3:52	495
30 Days	234
30 Days of Night	496
30 Days Until I&#039;m Famous	497
30 Miles	498
30 Odd Foot of Grunts - Texas	499
30 Years of Fun	235
30 Years to Life	500
30,000 Leagues Under the Sea	236
300	237
300: The IMAX Experience	501
3000 Miles	238
3000 Miles to Graceland	502
301, 302	239
305	503
31 Minutos, la Pelicula	504
31 North 62 East (Too Close to the Truth)	505
3-2-1 Penguins: The Amazing Carnival of Complaining	240
32A	506
33 1/3 Revolutions Per Monkee	241
33 Days	507
33 Scenes from Life	242
3-4x juugatsu (Boiling Point)	508
35 Rhums (35 Shots of Rum)	243
35 Up	244
36 China Town	509
36 Chowringhee Lane	510
36 Deadly Styles	245
36 Fillette	246
36 Ghante	247
36 Hours	248
36 Hours to Die	249
36 quai des orfevres	250
36 Steps	251
365 Nights in Hollywood	513
36th Chamber	514
36th Chamber of Shaolin (Shao Lin san shi liu fang)	515
37 og et halvt (37 1/2)	511
37 Uses for a Dead Sheep	512
37°2 le Matin (Betty Blue) (37.2 Degrees in the Morning)	516
39 Pounds of Love	517
3D Sun	518
3-Day Weekend	519
3-Iron	658
3-Iron (Bin-jip)	520
3-Iron (Bin-jip) (Empty Houses)	521
3x3 Eyes	522
3x3 Eyes (Sazan aizu)	523
4	524
4 (Chetyre)	659
4 aventures de Reinette et Mirabelle (Four Adventures of Reinette and Mirabelle)	660
4 de Julio	661
4 Elements	662
4 Films by Otar Iosseliani	663
4 for Texas	525
4 Life	526
4 Little Girls	664
4 Luni, 3 Saptamani si 2 Zile (4 Months, 3 Weeks and 2 Days)	665
4 passi fra le nuvole (Four Steps in the Clouds)	666
4:20 Hour Stand-Up	667
4:30	668
40 Carats	669
40 Days and 40 Nights	527
40 Días	528
40 Guns to Apache Pass	529
40 Is the New 20	670
40 Pounds of Trouble	671
40 X 15	530
40-ci qapi (The 40th Door)	672
41	673
4107	674
42 Up	531
42nd Street	532
42nd Street Forever, Volume 1	675
42plus	533
44	676
44 Inch Chest	534
44 Minutes	535
45 R.P.M.	536
47 Ronin	677
48 Angels	678
48 HRS	679
48 Shades	537
49 Up	680
49th Parallel (The Invaders)	681
4bia (Phobia)	538
4bia (See prang)(Phobia)	682
4D Man	539
5 Bambole per la Luna d&#039;Agosto (5 Dolls For an August Moon)	540
5 Card Stud	683
5 Days	684
5 Dolls for an August Moon / Four Times That Night	685
5 Element Kung Fu	541
5 Fingers (Five Fingers)	686
5 Fingers of Death	687
5 Fingers of Death (Tian xia di yi quan)	66644
5 Gallons of Diesel	688
5 Girls	542
5 Keys to Mastery	689
5 l?gner, (5 Lies)	690
5 Sides of a Coin	691
5 tombe per un medium(Tombs of Horror )(Terror-Creatures from the Grave)(Cemetery of the Living Dead	543
50 Cent - Refuse to Die	692
50 Cent: Who Dares Wins	693
50 First Dates	544
50 Ways of Saying Fabulous	545
50 Years War: Israel and the Arabs	546
50 Years! Of Love?	547
50 Years: The Best of Hollywood	694
50,000,000 Joe Franklin Fans Can&#039;t Be Wrong	695
500 Miles to Babylon	548
500 Nations	696
500 stenkastende autonome voldspsykopater fra helvede	549
500 Years Later	550
503	551
51 Birch Street	697
5150	698
5150, Rue des Ormes	552
52 Pick Up	699
52 Pick-Up	553
5-25-77 (&#039;77)	700
533 Statements	701
54	554
55 Days at Peking	555
56 Drops of Blood (56 Csepp Ver)	66694
57,000 Kilometers Between Us (57000 km entre nous)	702
587: The Great Train Robbery	703
588 Rue Paradis (Mother)	556
5ive Days to Midnight	704
5ive Girls	557
5th Ave Girl (Fifth Avenue Girl)	705
5up 2down	558
5x2 (5 x 2: Five Times Two)	706
6 AM	559
6 Angels	707
6 Brothaz in a Cadillac	560
6 nyeon-jjae yeonae-jung	708
6&#039;2&#034;	709
60 Minutes to Winning Blackjack&#034; by the MIT students who &#039;Brought Down the House&#039;	710
60 Spins Around the Sun	711
61*	712
6-18-67	713
62 Pickup	714
633 Squadron	561
638 Ways to Kill Castro	715
666 The Beast	562
666: The Child	716
666: The Demon Child	717
672 Chile Street	563
68	718
69	719
69 - Sixtynine	564
6ixtynin9 (Ruang talok 69)	720
6teen: Dude of the Living Dead	565
7 1/2 Phere	566
7 Angels in Eden	567
7 ans de mariage (Seven Years of Marriage)	568
7 Colombian Kilos	721
7 Days (7 dias)	722
7 Days (Shiva)	569
7 Days in September	570
7 Days To Live	723
7 días	571
7 Dwarfs	724
7 gatsu 24 ka d?ri no Kurisumasu(Christmas on July 24th Avenue)	725
7 Grand Masters	726
7 jin gong (Wonder Seven)	727
7 Kilos	572
7 Lucky Ninja Kids	573
7 Men From Now (Seven Men from Now)	574
7 miljon?rer	728
7 mujeres, 1 homosexual y Carlos	729
7 Nights in the Entry	730
7 Plus Seven (14 Up)	575
7 Seconds	731
7 Soles	576
7 Things to Do Before I&#039;m 30	732
7 Virgins (7 virgenes)	577
7 Women (Seven Women)	733
7 Year Zig Zag	734
7/G Brindavan Colony	578
7/G Rainbow Colony	735
7:35 de la ma?ana (7:35 in the Morning)	579
70 x 7: Forgiveness to the Extreme	580
71 Fragmente einer Chronologie des Zufalls (71 Fragments of a Chronology of Chance)	581
7-10 Split (Strike)	736
711 Ocean Drive	737
72 Desperate Rebels	738
72 metra (72 Meters)	739
75 Degrees in July	582
761st	740
77 Doronship	741
7915 Km	742
7eventy 5ive	743
7th Cavalry (Seventh Cavalry)	744
7th Street	583
8	745
8 1/2	746
8 1/2 (1963)	584
8 1/2 Women	747
8 Bit	585
8 Heads in a Duffel Bag	748
8 Man	749
8 Man After	586
8 Mile	750
8 Millimeter 2	587
8 Million Ways To Die	588
8 of Diamonds	589
8 p?iv?? ensi-iltaan	590
8 Seconds	751
8 Semanas (8 Weeks)	591
8 Weeks to Optimum Health	752
8 Women	592
8 Women (8 Femmes)	753
8 X 10 Tasveer	593
8 X 8: A Chess Sonata in 8 Movements	594
80 Minutes	754
80,000 Suspects	595
800 Balas (800 Bullets)	755
801 T.T.S. Airbats	756
83 Hours Till Dawn	596
84 Charing Cross Road	597
84C MoPic	598
88 Antop Hill	757
88 Minutes	599
881	600
8MM	601
8mm 2	758
9	602
9 (2005)	759
9 (2009)	603
9 (Nine)	604
9 1/2 Ninjas!	605
9 1/2 Weeks	760
9 Deaths of the Ninja	606
9 dney odnogo goda (Nine Days of One Year)	761
9 Mornings	607
9 Naga	608
9 songs	609
9 Souls	610
9 Star Hotel (Malon 9 Kochavim)	762
9/11	611
9/11: Inside the Twin Towers	612
9/11: Press for Truth	613
9/Tenths	763
90 Degrees South: With Scott to the Antarctic	614
90 Millas	615
901: After 45 Years of Working	764
90404 Changing	616
911: The Road to Tyranny	765
92 in the Shade	617
92: Hak Mooi Gwai dui Hak Mooi Gwai (92 Black Rose vs. Black Rose)	618
95 Miles to Go	619
964 Pinocchio (Screams of Blasphemy)	766
97 ga yau hei si (All&#039;s Well, Ends Well 1997)	767
97 goo waak jai jin mo bat sing (97 Wise Guys No War Cannot Be Won)(Young and Dangerous 4)	620
976-Evil	768
976-Evil II	621
98 goo waak chai ji lung chang foo dau (Young and Dangerous V)	622
99	623
99 And 44/100% Dead (Call Harry Crown)	624
99 Cycling Swords	769
99 francs	625
99 Pieces	770
99 River Street	626
99 Women (Der Hei?e Tod)	771
99.9	772
99.9 FM	773
9mm	774
9to5: Days in Porn	627
A	775
A Bad Situationist	776
A Bahraini Tale	777
A Bear Named Winnie	778
A Bear&#039;s Christmas Tail	779
A Beautiful Life	780
A Beautiful Mind	781
A Bell for Adano	628
A Belly Full of Dreams	629
A Better Place	782
A Better Tomorrow	630
A Better Tomorrow II	631
A Better Tomorrow III	783
A Better Way to Die	784
A Big Hand for the Little Lady	785
A Big Slice of Jo Brand	786
A Bigger Splash	632
A Bill of Divorcement	633
A Bill of Divorcement (1932)	634
A Billion For Boris	787
A Bittersweet Life (Dalkomhan insaeng)	635
A Bittersweet Tale of a Hollywood Failure	636
A Bizarre Love Triangle	788
A Blade in the Dark	637
A Blonde in Love (Lasky jedne plavovlasky)	789
A Blooming Business	790
A Blueprint for Murder	638
A Bold Affair	639
A Bomba	791
A Bonus for Irene (Eine Pramie fur Irene)	792
A Bookshelf on Top of the Sky	640
à bout de truffe	793
A Boy and His Dog	794
A Boy Named Charlie Brown	795
A Boy on the Galloping Horse (Chlopiec na galopujacym koniu )	796
A Boy, a Girl and a Bike	641
A Boyfriend for Christmas	642
A Brand New Life	643
A Breakfast Chronicle	797
A Breath of Scandal (Olympia)	644
A Breed Apart	645
A Bride for Henry	646
A Bridge Too Far	798
A Brief History of Cuba in D Minor	799
A Brief History of Errol Morris	800
A Brief History of Time	647
A Bright Shining Lie	801
A Brilliant Disguise	802
A Brivele der Mamen (A Letter to Mother) (Little Letter to Mama) (The Eternal Song)	923
A Broke Down Melody	924
A Brokedown Melody	925
A Broken Life	648
A Broken Sole	649
A Bronx Tale	650
A Brooklyn State of Mind	651
A Brother&#039;s Kiss	652
A Bucket of Blood	653
A Bucket of Blood (Dark Secrets) (The Death Artist)	654
A Bug and a Bag of Weed	655
A Bug&#039;s Life	926
A Bullet for Joey	656
A Bullet for Sandoval (Desesperados, Los)	927
A Bullet for the General (El chuncho, quien sabe?)	928
A Bunch of Amateurs	657
A Bunny&#039;s Tale	929
A Burlesque on Carmen	930
A Burning Passion: The Margaret Mitchell Story	931
A Business Affair	803
A Busy Day (Busy as Can Be) (Lady Charlie)	932
à cache-cache (Hide and Seek)	804
A Caixa (Blind Man&#039;s Bluff)	933
A Call To Remember	805
A Can??o de Lisboa (A Song of Lisbon)	934
A Canterbury Tale	935
A Cantor&#039;s Tale	936
A Cara que Mereces	937
A Casa da M?e Joana	938
A casa nostra	939
A Case For Murder	806
A Case of Honor	807
A Cat&#039;s Tale	940
à cause d&#039;un gar?on (You&#039;ll Get Over It)	808
A Century of Black Cinema	941
A Century of Lionel Legendary Trains	942
A Certain Foolish Consistency	943
A Certain Justice	944
A Certain Kind of Death	945
A Certain Sacrifice	809
A Chairy Tale	810
A Challenge for Robin Hood	946
A Chance of Snow	811
A Change of Heart	947
A Change of Place	948
A Change of Seasons	949
A Charlie Brown Christmas	950
A Charlie Brown Thanksgiving	951
A Charlie Brown Valentine	952
A Child Is Waiting	953
A Child Lost Forever: The Jerry Sherwood Story	812
A Child&#039;s Christmas in Wales	954
A Child&#039;s Guide to Blowing Up a Motor Car	813
A Child&#039;s Love Story	955
A Chinese Ghost Story	814
A Chinese Ghost Story II (Sien nui yau wan II yan gaan do)	956
A Chinese Ghost Story III	815
A Chink in the Armour	816
A Chorus Line	817
A Chorus of Disapproval	818
A Christmas Carol	957
A Christmas Carol: The Musical	819
A Christmas Family Tragedy	820
A Christmas Memory	821
A Christmas Proposal	822
A Christmas Reunion	958
A Christmas Romance	959
A Christmas Story	823
A Christmas Story: 20th Anniversary Edition: Bonus Material	960
A Christmas Tale (Un conte de Noel)	961
A Christmas Too Many	962
A Christmas Visitor	963
A Christmas Wish	964
A Christmas Without Snow	824
A Chronicle of Corpses	825
A Chump at Oxford	965
A ciascuno il suo (We Still Kill the Old Way)	826
A Cinderella Story	827
A Circle of Deception	966
A Citizen, A Detective &amp; A Thief	967
A City Called Heaven	968
A City on Fire: The Story of the &#039;68 Detroit Tigers	969
A Civil Action	970
A Classical Christmas	828
A Clay Aiken Christmas	971
A Claymation Christmas Celebration	829
A Clockwork Orange	830
A Close Call for Boston Blackie (Lady of Mystery)	831
A Closer Walk	832
A Coat of Snow	833
à coeur joie (Two Weeks in September)	834
A Cold Day in Hell	972
A Cold Night&#039;s Death (The Chill Factor)	835
A Colder Kind of Death	973
A Comédia de Deus (God&#039;s Comedy)	836
A Complete History of My Sexual Failures	837
A Concep??o	974
A Connecticut Yankee	838
A Connecticut Yankee in King Arthur&#039;s Court	975
A Connecticut Yankee in King Arthur&#039;s Court (1949)	976
A Conspiracy of Love	977
A Constant Forge	839
A Convenient Truth: Urban Solutions From Curitiba, Brazil	840
A Conversation About Race	978
A Cool Dry Place	841
A Cooler Climate	979
A Coorial on the Orinoco	842
A Corner in Wheat	980
à corps perdu (Straight for the Heart)	981
A Cosmic Christmas	982
A Cottage on Dartmoor	843
A Couch in New York	844
A Countess from Hong Kong	983
A Country Doctor (Kafka - Inaka isha)	984
A Couple of Blaguards	985
A Couple of Days and Nights	986
A Couple of Dicks (A Couple of Cops)	987
A Couple of White Chicks at the Hairdresser	845
A Court D&#039;Amour	988
A Covenant with Death	989
A Crack in the Floor	846
A Crime	990
A Crime in Paradise	847
A Crude Awakening: The Oil Crash	848
A Cry for Help: The Tracey Thurman Story	849
A Cry from the Grave (Srebrenica: A Cry from the Grave)	850
A Cry In The Night	991
A Cry in the Wild	992
A Dama do Cine Shanghai (The Lady from the Shanghai Cinema)	851
A Damsel in Distress	993
A Dan?a da Vida (The Dance of Life)	994
A Dance for Bethany	852
A Dandy in Aspic	853
A Dangerous Man: Lawrence After Arabia	995
A Dangerous Place	996
A Dangerous Woman	854
A Darkness Swallowed	997
A Date with Darkness: The Trial and Capture of Andrew Luster	998
A Date With Judy	855
